Address,Currency
0x27fe89b767c0e986c8c3a1c0e83c536cb467c9b4,ETH
0x3f81128affdf705cbf58a1d7dbc59aae55189f79,ETH
0xef8a1de7b536396dd82d7a6a9be5218e8fb77f97,ETH
0xd119397b8f0adabcf1254aaeca6fc35cf675ccef,ETH
0x168bad09974aa4612c0aa49a444264b80fa74095,ETH
0x8ea8448c3a80e7e33cfddbcc59cb28a8b60d1a71,ETH
0x2768feab4515f437c21ec7d0222e99ef2f44d5fd,ETH
0xc43548e953bf5db3d7af10a82a12ed0dbdab1b47,ETH
0x58d9504ca3311cbfae37150eefdc562a8cf29bee,ETH
0x0bd065228b96eae7d08fa4d9b0ea67ecf99fa413,ETH
0x5da5560238c9332d6f1b85106797883b37500f1c,ETH
0x9217ccd8025adb03b561c9a197fd4b705a2e1d6a,ETH
0xba845eb024e784539a908985a7241746b729c871,ETH
0x3eaa198e38e3c9688c851ec04c15d2767f8a3105,ETH
0xe7a286a9df39616673251a52889525b46b7ad46a,ETH
0x46152a29e41a9f126493ef92684cabade7238a53,ETH
0xe7eb179cb547e1ab2502791d7840ec67a495b510,ETH
0xebf974f35436e18eb38d44f4a31f7cf1dc261f65,ETH
0xdfaa138d334b2d863768fca752c2ce79e0d0920b,ETH
0xd746eb1c360cfeb9a9f50de31d890a26521d9504,ETH
0x6a50132a897dd33fd6b48318afe258d6348b9f51,ETH
0x6988f41c93e4c0eb7d62238acb56f2b7994f1780,ETH
0x780ed8398f21ccb7326dd69baed765409755132a,ETH
0x7cd15131ddf96f131a4760dbb8eb6ae2f71163d2,ETH
0x61b761d7d06c29be834cd4592ac46eb370590ca9,ETH
0x49681c1fa550516a39b9f1a9a9d00c4940b58f1e,ETH
0xf3bc5c013e4fe0df59951c1dad6cfc627c0902a3,ETH
0xf3bd61133142f2db71da9de3fa57eaebf59e02a3,ETH
0x9cf0cde0790e7656c48b735922a7fc8b97414183,ETH
0xf022db46afe3a62dfff52c72d44e7a6bebc55054,ETH
0x966e88288a813668bc78ffa0141f9bb9ed2f66eb,ETH
0xa45f9fb438a8b5a351fb4cb49b5c05257c141cd7,ETH
0x270ddf30517858f6d551313c018890f8a10e5c9b,ETH
0x788448588ca548f552904df1777d04a89f5762fa,ETH
0x8c6d88561bfcb3e2af17ac2f161314a33ac33fe5,ETH
0x5666e93711b1472e39dbb79d69362d5c73efcc7e,ETH
0x4d57c4678d232d50c56aeab535ce0ff330897b35,ETH
0xe3c0bd6cdcd0ca2bcd97ea5a313487aedc4cea79,ETH
0x8c811d45f22554f8b211e7de741174c2c73612b0,ETH
0x19d0423cfe7310f3a9cd0aaf7cfdfff1df1ccbdd,ETH
0xcccf918c4b92d9d9f628baba9dc6c8a011984327,ETH
0x50b649904d764128708c4c0da3fb0c043b99fc64,ETH
0x762ae36a97b2d7e8d1468ad946e52328a64a95a7,ETH
0x87551c2775d1db6d3b7010419d03ee2232eec3ff,ETH
0xd64cda4fff08278de507bdb17fe7c1a8441244c7,ETH
0x8ebadc4e8af12a76dadd099424613ef621811431,ETH
0x6b916c9d54d3766bacd543d02c336cdb3bbbac64,ETH
0x9776d93107cb81d9668333f3ace84536541cec76,ETH
0x30baab6de6173d6bdd8e5e4eb0a574fdf0efd13a,ETH
0x40fb25c2da20a46081397386d1c6c3e1a72cc854,ETH
0x9e40ba0318600d4a1c7616b83944097020feb3d9,ETH
0xa8e33afed10adcba0328b86352faf4de1f4345b9,ETH
0xcaa4e9d3ed2290d36c7d983e5034acbf7ae10d3b,ETH
0x1eed77002c9bc1791d9a20273a33bd78b071aaa5,ETH
0x89a768a9c2d5f5449a51da8085d90ffa7dc40056,ETH
0x741c03d626931c1273a8437da470f301f8acc047,ETH
0xc369a8b84d8c9051fce1a291d728cdae63fdbc58,ETH
0x0d84b5a84409dfda5f0bd4a3b2f21da6b4d6b1fb,ETH
0x2c2657919c1ca057e952e0cda4f5b8f781fab16e,ETH
0xcc213d71bc8b46680e5d31498e0a46181e1a9ebe,ETH
0xed0269952d73e59168b87636b99b2da95c957259,ETH
0xed02e311bc94c334b0b94dd9e17284fc5ba77259,ETH
0xfb386e136329f78394b10d6572c1c9ec0ffe47eb,ETH
0xf37dd7f2c92c399e0a266c80095617fcd30ab133,ETH
0x70efeca796ae8a01072b93d7a47a6ad849dfd303,ETH
0xc88e0760f2d205d837965b8f32f3213e5f86d387,ETH
0x49cb0e4355a1a25bdd1923f9a3201b50807ae61d,ETH
0x6b4f930ef3bdc255797038dbadf98c943cf36ad4,ETH
0x8c6f7cb6ca4215c0c3b3c5437ef8c80cb20b3fe5,ETH
0x8c804cc6db884a9dd1b7ad490d69d2dd3d8112b0,ETH
0x398f0215d8e1753b7e1426c3c6c9e852d135bea1,ETH
